"Tarih","PM10","SO2","DisariCikmaKarari"
"4/3/2020","14.92928","1.758379","EVET"
"4/3/2020","12.04243","1.918008","EVET"
"4/3/2020","12.98586","1.994519","EVET"
"4/3/2020","19.90099","2.458318","EVET"
"4/3/2020","18.02829","2.17959","EVET"
"4/3/2020","17.01414","2.011582","EVET"
"4/3/2020","30.80198","1.986132","EVET"
"4/3/2020","34.94342","2.732354","EVET"
"4/3/2020","32.04243","2.954288","EVET"
"4/3/2020","27.07072","3.066221","EVET"
"4/3/2020","19.10198","3.031542","EVET"
"4/3/2020","19.98725","2.858224","EVET"
"4/3/2020","29.87234","2.345476","EVET"
"4/3/2020","16.17847","2.710979","EVET"
"4/3/2020","20.93617","2.337639","EVET"
"4/3/2020","12.11489","2.312456","EVET"
"4/3/2020","23.84681","1.933847","EVET"
"4/3/2020","7.217021","1.773492","EVET"
"4/3/2020","20.82128","1.871222","EVET"
"4/3/2020","4.217021","1.768246","EVET"
"4/3/2020","20.78298","1.927348","EVET"
"4/3/2020","16.06383","2.42105","EVET"
"4/3/2020","21.9234","2.503736","EVET"
"4/3/2020","22","2.860971","EVET"
"4/2/2020","22","4.917962","EVET"
"4/2/2020","41.74504","4.158249","EVET"
"4/2/2020","29.16572","4.64123","EVET"
"4/2/2020","30.9745","4.070423","EVET"
"4/2/2020","18.16572","3.273644","EVET"
"4/2/2020","15.03819","3.382252","EVET"
"4/2/2020","18.94901","3.216044","EVET"
"4/2/2020","16.03819","3.522234","EVET"
"4/2/2020","21.92351","3.497186","EVET"
"4/2/2020","26.93626","3.522682","EVET"
"4/2/2020","20.08911","3.637867","EVET"
"4/2/2020","10.12748","3.69109","EVET"
"4/2/2020","31.71915","4.53196","EVET"
"4/2/2020","21.14023","4.596547","EVET"
"4/2/2020","17.05099","4.197499","EVET"
"4/2/2020","17.98725","3.230711","EVET"
"4/2/2020","16.0255","3.024528","EVET"
"4/2/2020","18.96176","3.130951","EVET"
"4/2/2020","15.05099","3.966578","EVET"
"4/2/2020","21.91076","2.954821","EVET"
"4/2/2020","7.190948","3.19373","EVET"
"4/2/2020","10.94908","2.980826","EVET"
"4/2/2020","12.97454","2.903332","EVET"
"4/2/2020","20.92057","3.122244","EVET"
"4/1/2020","22.97454","2.89532","EVET"
"4/1/2020","19.05092","3.66577","EVET"
"4/1/2020","35.78359","2.665966","EVET"
"4/1/2020","30.07638","2.345539","EVET"
"4/1/2020","21.11457","2.175526","EVET"
"4/1/2020","19.02553","1.518437","EVET"
"4/1/2020","9.127479","1.731337","EVET"
"4/1/2020","9.987252","1.55817","EVET"
"4/1/2020","9.012712","1.527245","EVET"
"4/1/2020","13.93635","1.533475","EVET"
"4/1/2020","16.96176","1.581592","EVET"
"4/1/2020","27.85977","1.584871","EVET"
"4/1/2020","20.10198","1.647641","EVET"
"4/1/2020","21.9745","1.709648","EVET"
"4/1/2020","9.165723","1.686016","EVET"
"4/1/2020","10.9745","1.847405","EVET"
"4/1/2020","11","1.599942","EVET"
"4/1/2020","8.03819","1.549063","EVET"
"4/1/2020","20.83451","1.391032","EVET"
"4/1/2020","9.152759","1.440589","EVET"
"4/1/2020","7.02546","1.569595","EVET"
"4/1/2020","23.78329","1.487045","EVET"
"4/1/2020","20.0565","1.536045","EVET"
"4/1/2020","10.11347","1.774104","EVET"
"3/31/2020","16.90099","2.130992","EVET"
"3/31/2020","27.84441","2.377034","EVET"
"3/31/2020","20.10184","2.692193","EVET"
"3/31/2020","38.75813","3.319192","EVET"
"3/31/2020","28.14003","3.171858","EVET"
"3/31/2020","17.14003","2.883656","EVET"
"3/31/2020","20.94908","3.198026","EVET"
"3/31/2020","17.05092","3.278229","EVET"
"3/31/2020","12.06365","3.230594","EVET"
"3/31/2020","12","3.326445","EVET"
"3/31/2020","23.84724","3.264168","EVET"
"3/31/2020","12.15276","3.313837","EVET"
"3/31/2020","17.92362","3.628583","EVET"
"3/31/2020","15.03819","3.226061","EVET"
"3/31/2020","13.02546","3.222421","EVET"
"3/31/2020","13.98725","3.463252","EVET"
"3/31/2020","15.97454","2.337513","EVET"
"3/31/2020","10.07638","2.280892","EVET"
"3/31/2020","12.96181","1.787601","EVET"
"3/31/2020","11.02546","1.917748","EVET"
"3/31/2020","9.025424","2.228449","EVET"
"3/31/2020","29.76204","1.884106","EVET"
"3/31/2020","15.16997","2.2692","EVET"
"3/31/2020","23.91064","2.269062","EVET"
"3/30/2020","27.95467","2.476889","EVET"
"3/30/2020","26.0227","2.66202","EVET"
"3/30/2020","36.87518","3.178012","EVET"
"3/30/2020","18.2156","3.144235","EVET"
"3/30/2020","18.98865","2.954696","EVET"
"3/30/2020","16.03404","2.799716","EVET"
"3/30/2020","16","2.811344","EVET"
"3/30/2020","11.05674","2.769532","EVET"
"3/30/2020","10.01135","2.966556","EVET"
"3/30/2020","8.022695","2.753376","EVET"
"3/30/2020","9.977337","2.590171","EVET"
"3/30/2020","22.85269","2.696955","EVET"
"3/30/2020","6.192908","3.066798","EVET"
"3/30/2020","21.81844","2.365788","EVET"
"3/30/2020","13.10184","2.018769","EVET"
"3/30/2020","13","2.067795","EVET"
"3/30/2020","11.02266","2.7214","EVET"
"3/30/2020","16.93201","1.832366","EVET"
"3/30/2020","6.124646","1.678871","EVET"
"3/30/2020","17.86402","1.913926","EVET"
"3/30/2020","5.147518","1.777022","EVET"
"3/30/2020","24.77337","1.904062","EVET"
"3/30/2020","9.181303","2.141893","EVET"
"3/30/2020","10.98293","2.104326","EVET"
"3/29/2020","17.92057","2.200785","EVET"
"3/29/2020","12.06808","1.964015","EVET"
"3/29/2020","12","1.974378","EVET"
"3/29/2020","21.88669","2.385008","EVET"
"3/29/2020","19.03399","3.067982","EVET"
"3/29/2020","16.03395","2.115842","EVET"
"3/29/2020","17.97737","1.917479","EVET"
"3/29/2020","8.113154","2.11159","EVET"
"3/29/2020","5.033946","2.234112","EVET"
"3/29/2020","5.988685","2.104153","EVET"
"3/29/2020","22.80764","2.0584","EVET"
"3/29/2020","6.192362","1.889679","EVET"
"3/29/2020","6.988685","2.119341","EVET"
"3/29/2020","19.8529","1.901671","EVET"
"3/29/2020","12.09052","2.031716","EVET"
"3/29/2020","21.88685","1.820442","EVET"
"3/29/2020","22.98865","1.730317","EVET"
"3/29/2020","10.14689","1.717813","EVET"
"3/29/2020","17.90935","1.880491","EVET"
"3/29/2020","11.07932","1.814733","EVET"
"3/29/2020","11.98867","1.726083","EVET"
"3/29/2020","26.83027","1.897001","EVET"
"3/29/2020","11.18105","1.994035","EVET"
"3/29/2020","15.95739","1.981503","EVET"
"3/28/2020","31.8187","1.873612","EVET"
"3/28/2020","28.04533","2.259713","EVET"
"3/28/2020","15.1471","2.07074","EVET"
"3/28/2020","29.83027","1.978936","EVET"
"3/28/2020","13.19236","2.624287","EVET"
"3/28/2020","11.02263","2.47101","EVET"
"3/28/2020","15.94342","2.424013","EVET"
"3/28/2020","15.01132","2.663151","EVET"
"3/28/2020","6.101983","2.843086","EVET"
"3/28/2020","21.79632","2.991745","EVET"
"3/28/2020","13.11457","2.383476","EVET"
"3/28/2020","13","2.379885","EVET"
"3/28/2020","13","2.377887","EVET"
"3/28/2020","14.97737","2.526039","EVET"
"3/28/2020","19.94334","2.475808","EVET"
"3/28/2020","11.10184","2.253838","EVET"
"3/28/2020","8.033946","1.958834","EVET"
"3/28/2020","21.84158","1.906894","EVET"
"3/28/2020","17.05658","1.800401","EVET"
"3/28/2020","10.07921","2.117017","EVET"
"3/28/2020","16.92079","2.193304","EVET"
"3/28/2020","20.95474","2.147806","EVET"
"3/28/2020","22.97737","2.317732","EVET"
"3/28/2020","17.05106","2.24879","EVET"
"3/27/2020","54.57001","2.466213","HAYIR"
"3/27/2020","32.26025","2.838228","EVET"
"3/27/2020","33.97737","2.963401","EVET"
"3/27/2020","34","2.822006","EVET"
"3/27/2020","21.1471","2.757056","EVET"
"3/27/2020","21.98868","2.949629","EVET"
"3/27/2020","27.94059","2.763621","EVET"
"3/27/2020","27.01133","2.86553","EVET"
"3/27/2020","19.07943","3.238283","EVET"
"3/27/2020","21.97025","4.079037","EVET"
"3/27/2020","17.04964","4.412329","EVET"
"3/27/2020","19.97021","3.671014","EVET"
"3/27/2020","23.96028","3.095284","EVET"
"3/27/2020","21.02979","2.95689","EVET"
"3/27/2020","18.02979","3.088212","EVET"
"3/27/2020","19.98014","2.862444","EVET"
"3/27/2020","12.07943","2.884623","EVET"
"3/27/2020","10.01986","2.868705","EVET"
"3/27/2020","15.94043","2.687567","EVET"
"3/27/2020","17.98014","2.428438","EVET"
"3/27/2020","19.98014","3.102242","EVET"
"3/27/2020","27.92057","3.700863","EVET"
"3/27/2020","27.00991","3.629646","EVET"
"3/27/2020","29.97866","3.525614","EVET"
"3/26/2020","46.83144","4.804575","EVET"
"3/26/2020","32.14872","4.948324","EVET"
"3/26/2020","35.96034","5.372854","EVET"
"3/26/2020","50.85128","7.872333","EVET"
"3/26/2020","33.17847","7.783661","EVET"
"3/26/2020","35.97026","4.964839","EVET"
"3/26/2020","23.12889","5.588344","EVET"
"3/26/2020","21.01983","6.049166","EVET"
"3/26/2020","25.95042","6.186542","EVET"
"3/26/2020","28.97021","5.55434","EVET"
"3/26/2020","20.08936","3.559754","EVET"
"3/26/2020","20.99007","4.055107","EVET"
"3/26/2020","21","5.303991","EVET"
"3/26/2020","24.96028","4.550493","EVET"
"3/26/2020","33.91077","3.821793","EVET"
"3/26/2020","25.08924","4.320788","EVET"
"3/26/2020","26.9802","3.271822","EVET"
"3/26/2020","30.9604","3.460675","EVET"
"3/26/2020","26.04951","3.863356","EVET"
"3/26/2020","29.9604","4.143","EVET"
"3/26/2020","25.04951","4.450531","EVET"
"3/26/2020","25","4.77537","EVET"
"3/26/2020","25","5.285989","EVET"
"3/26/2020","21.02837","7.644379","EVET"
"3/25/2020","24.9604","8.417021","EVET"
"3/25/2020","36.88102","7.606448","EVET"
"3/25/2020","37.99009","8.619387","EVET"
"3/25/2020","29.08924","6.565245","EVET"
"3/25/2020","29","4.629606","EVET"
"3/25/2020","23.05932","3.877914","EVET"
"3/25/2020","22.00991","3.505499","EVET"
"3/25/2020","23.98023","4.378487","EVET"
"3/25/2020","13.10907","4.76081","EVET"
"3/25/2020","13","4.721106","EVET"
"3/25/2020","17.95042","5.976218","EVET"
"3/25/2020","18","6.242501","EVET"
"3/25/2020","19.98017","4.728837","EVET"
"3/25/2020","26.93069","4.097388","EVET"
"3/25/2020","24.0297","7.132543","EVET"
"3/25/2020","20.03955","11.63257","EVET"
"3/25/2020","23.9604","5.715849","EVET"
"3/25/2020","16.07921","5.051753","EVET"
"3/25/2020","23.92079","4.463048","EVET"
"3/25/2020","16.07932","4.940897","EVET"
"3/25/2020","17.97737","3.959811","EVET"
"3/25/2020","18","4.387536","EVET"
"3/25/2020","13.0565","4.864291","EVET"
"3/25/2020","15.97447","4.52939","EVET"
"3/24/2020","22.93069","4.754387","EVET"
"3/24/2020","41.81188","5.048576","EVET"
"3/24/2020","39.0297","5.341835","EVET"
"3/24/2020","40.9802","8.661538","EVET"
