"Tarih","PM10","SO2"
"4/3/2020","14.92928","1.758379"
"4/3/2020","12.04243","1.918008"
"4/3/2020","12.98586","1.994519"
"4/3/2020","19.90099","2.458318"
"4/3/2020","18.02829","2.17959"
"4/3/2020","17.01414","2.011582"
"4/3/2020","30.80198","1.986132"
"4/3/2020","34.94342","2.732354"
"4/3/2020","32.04243","2.954288"
"4/3/2020","27.07072","3.066221"
"4/3/2020","19.10198","3.031542"
"4/3/2020","19.98725","2.858224"
"4/3/2020","29.87234","2.345476"
"4/3/2020","16.17847","2.710979"
"4/3/2020","20.93617","2.337639"
"4/3/2020","12.11489","2.312456"
"4/3/2020","23.84681","1.933847"
"4/3/2020","7.217021","1.773492"
"4/3/2020","20.82128","1.871222"
"4/3/2020","4.217021","1.768246"
"4/3/2020","20.78298","1.927348"
"4/3/2020","16.06383","2.42105"
"4/3/2020","21.9234","2.503736"
"4/3/2020","22","2.860971"
"4/2/2020","22","4.917962"
"4/2/2020","41.74504","4.158249"
"4/2/2020","29.16572","4.64123"
"4/2/2020","30.9745","4.070423"
"4/2/2020","18.16572","3.273644"
"4/2/2020","15.03819","3.382252"
"4/2/2020","18.94901","3.216044"
"4/2/2020","16.03819","3.522234"
"4/2/2020","21.92351","3.497186"
"4/2/2020","26.93626","3.522682"
"4/2/2020","20.08911","3.637867"
"4/2/2020","10.12748","3.69109"
"4/2/2020","31.71915","4.53196"
"4/2/2020","21.14023","4.596547"
"4/2/2020","17.05099","4.197499"
"4/2/2020","17.98725","3.230711"
"4/2/2020","16.0255","3.024528"
"4/2/2020","18.96176","3.130951"
"4/2/2020","15.05099","3.966578"
"4/2/2020","21.91076","2.954821"
"4/2/2020","7.190948","3.19373"
"4/2/2020","10.94908","2.980826"
"4/2/2020","12.97454","2.903332"
"4/2/2020","20.92057","3.122244"
"4/1/2020","22.97454","2.89532"
"4/1/2020","19.05092","3.66577"
"4/1/2020","35.78359","2.665966"
"4/1/2020","30.07638","2.345539"
"4/1/2020","21.11457","2.175526"
"4/1/2020","19.02553","1.518437"
"4/1/2020","9.127479","1.731337"
"4/1/2020","9.987252","1.55817"
"4/1/2020","9.012712","1.527245"
"4/1/2020","13.93635","1.533475"
"4/1/2020","16.96176","1.581592"
"4/1/2020","27.85977","1.584871"
"4/1/2020","20.10198","1.647641"
"4/1/2020","21.9745","1.709648"
"4/1/2020","9.165723","1.686016"
"4/1/2020","10.9745","1.847405"
"4/1/2020","11","1.599942"
"4/1/2020","8.03819","1.549063"
"4/1/2020","20.83451","1.391032"
"4/1/2020","9.152759","1.440589"
"4/1/2020","7.02546","1.569595"
"4/1/2020","23.78329","1.487045"
"4/1/2020","20.0565","1.536045"
"4/1/2020","10.11347","1.774104"
"3/31/2020","16.90099","2.130992"
"3/31/2020","27.84441","2.377034"
"3/31/2020","20.10184","2.692193"
"3/31/2020","38.75813","3.319192"
"3/31/2020","28.14003","3.171858"
"3/31/2020","17.14003","2.883656"
"3/31/2020","20.94908","3.198026"
"3/31/2020","17.05092","3.278229"
"3/31/2020","12.06365","3.230594"
"3/31/2020","12","3.326445"
"3/31/2020","23.84724","3.264168"
"3/31/2020","12.15276","3.313837"
"3/31/2020","17.92362","3.628583"
"3/31/2020","15.03819","3.226061"
"3/31/2020","13.02546","3.222421"
"3/31/2020","13.98725","3.463252"
"3/31/2020","15.97454","2.337513"
"3/31/2020","10.07638","2.280892"
"3/31/2020","12.96181","1.787601"
"3/31/2020","11.02546","1.917748"
"3/31/2020","9.025424","2.228449"
"3/31/2020","29.76204","1.884106"
"3/31/2020","15.16997","2.2692"
"3/31/2020","23.91064","2.269062"
"3/30/2020","27.95467","2.476889"
"3/30/2020","26.0227","2.66202"
"3/30/2020","36.87518","3.178012"
"3/30/2020","18.2156","3.144235"
"3/30/2020","18.98865","2.954696"
"3/30/2020","16.03404","2.799716"
"3/30/2020","16","2.811344"
"3/30/2020","11.05674","2.769532"
"3/30/2020","10.01135","2.966556"
"3/30/2020","8.022695","2.753376"
"3/30/2020","9.977337","2.590171"
"3/30/2020","22.85269","2.696955"
"3/30/2020","6.192908","3.066798"
"3/30/2020","21.81844","2.365788"
"3/30/2020","13.10184","2.018769"
"3/30/2020","13","2.067795"
"3/30/2020","11.02266","2.7214"
"3/30/2020","16.93201","1.832366"
"3/30/2020","6.124646","1.678871"
"3/30/2020","17.86402","1.913926"
"3/30/2020","5.147518","1.777022"
"3/30/2020","24.77337","1.904062"
"3/30/2020","9.181303","2.141893"
"3/30/2020","10.98293","2.104326"
"3/29/2020","17.92057","2.200785"
"3/29/2020","12.06808","1.964015"
"3/29/2020","12","1.974378"
"3/29/2020","21.88669","2.385008"
"3/29/2020","19.03399","3.067982"
"3/29/2020","16.03395","2.115842"
"3/29/2020","17.97737","1.917479"
"3/29/2020","8.113154","2.11159"
"3/29/2020","5.033946","2.234112"
"3/29/2020","5.988685","2.104153"
"3/29/2020","22.80764","2.0584"
"3/29/2020","6.192362","1.889679"
"3/29/2020","6.988685","2.119341"
"3/29/2020","19.8529","1.901671"
"3/29/2020","12.09052","2.031716"
"3/29/2020","21.88685","1.820442"
"3/29/2020","22.98865","1.730317"
"3/29/2020","10.14689","1.717813"
"3/29/2020","17.90935","1.880491"
"3/29/2020","11.07932","1.814733"
"3/29/2020","11.98867","1.726083"
"3/29/2020","26.83027","1.897001"
"3/29/2020","11.18105","1.994035"
"3/29/2020","15.95739","1.981503"
"3/28/2020","31.8187","1.873612"
"3/28/2020","28.04533","2.259713"
"3/28/2020","15.1471","2.07074"
"3/28/2020","29.83027","1.978936"
"3/28/2020","13.19236","2.624287"
"3/28/2020","11.02263","2.47101"
"3/28/2020","15.94342","2.424013"
"3/28/2020","15.01132","2.663151"
"3/28/2020","6.101983","2.843086"
"3/28/2020","21.79632","2.991745"
"3/28/2020","13.11457","2.383476"
"3/28/2020","13","2.379885"
"3/28/2020","13","2.377887"
"3/28/2020","14.97737","2.526039"
"3/28/2020","19.94334","2.475808"
"3/28/2020","11.10184","2.253838"
"3/28/2020","8.033946","1.958834"
"3/28/2020","21.84158","1.906894"
"3/28/2020","17.05658","1.800401"
"3/28/2020","10.07921","2.117017"
"3/28/2020","16.92079","2.193304"
"3/28/2020","20.95474","2.147806"
"3/28/2020","22.97737","2.317732"
"3/28/2020","17.05106","2.24879"
"3/27/2020","54.57001","2.466213"
"3/27/2020","32.26025","2.838228"
"3/27/2020","33.97737","2.963401"
"3/27/2020","34","2.822006"
"3/27/2020","21.1471","2.757056"
"3/27/2020","21.98868","2.949629"
"3/27/2020","27.94059","2.763621"
"3/27/2020","27.01133","2.86553"
"3/27/2020","19.07943","3.238283"
"3/27/2020","21.97025","4.079037"
"3/27/2020","17.04964","4.412329"
"3/27/2020","19.97021","3.671014"
"3/27/2020","23.96028","3.095284"
"3/27/2020","21.02979","2.95689"
"3/27/2020","18.02979","3.088212"
"3/27/2020","19.98014","2.862444"
"3/27/2020","12.07943","2.884623"
"3/27/2020","10.01986","2.868705"
"3/27/2020","15.94043","2.687567"
"3/27/2020","17.98014","2.428438"
"3/27/2020","19.98014","3.102242"
"3/27/2020","27.92057","3.700863"
"3/27/2020","27.00991","3.629646"
"3/27/2020","29.97866","3.525614"
"3/26/2020","46.83144","4.804575"
"3/26/2020","32.14872","4.948324"
"3/26/2020","35.96034","5.372854"
"3/26/2020","50.85128","7.872333"
"3/26/2020","33.17847","7.783661"
"3/26/2020","35.97026","4.964839"
"3/26/2020","23.12889","5.588344"
"3/26/2020","21.01983","6.049166"
"3/26/2020","25.95042","6.186542"
"3/26/2020","28.97021","5.55434"
"3/26/2020","20.08936","3.559754"
"3/26/2020","20.99007","4.055107"
"3/26/2020","21","5.303991"
"3/26/2020","24.96028","4.550493"
"3/26/2020","33.91077","3.821793"
"3/26/2020","25.08924","4.320788"
"3/26/2020","26.9802","3.271822"
"3/26/2020","30.9604","3.460675"
"3/26/2020","26.04951","3.863356"
"3/26/2020","29.9604","4.143"
"3/26/2020","25.04951","4.450531"
"3/26/2020","25","4.77537"
"3/26/2020","25","5.285989"
"3/26/2020","21.02837","7.644379"
"3/25/2020","24.9604","8.417021"
"3/25/2020","36.88102","7.606448"
"3/25/2020","37.99009","8.619387"
"3/25/2020","29.08924","6.565245"
"3/25/2020","29","4.629606"
"3/25/2020","23.05932","3.877914"
"3/25/2020","22.00991","3.505499"
"3/25/2020","23.98023","4.378487"
"3/25/2020","13.10907","4.76081"
"3/25/2020","13","4.721106"
"3/25/2020","17.95042","5.976218"
"3/25/2020","18","6.242501"
"3/25/2020","19.98017","4.728837"
"3/25/2020","26.93069","4.097388"
"3/25/2020","24.0297","7.132543"
"3/25/2020","20.03955","11.63257"
"3/25/2020","23.9604","5.715849"
"3/25/2020","16.07921","5.051753"
"3/25/2020","23.92079","4.463048"
"3/25/2020","16.07932","4.940897"
"3/25/2020","17.97737","3.959811"
"3/25/2020","18","4.387536"
"3/25/2020","13.0565","4.864291"
"3/25/2020","15.97447","4.52939"
"3/24/2020","22.93069","4.754387"
"3/24/2020","41.81188","5.048576"
"3/24/2020","39.0297","5.341835"
"3/24/2020","40.9802","8.661538"
"3/24/2020","30.10891","13.13628"
"3/24/2020","29.0099","11.22913"
"3/24/2020","25.0396","8.013339"
"3/24/2020","22.0297","7.41772"
"3/24/2020","21.0099","7.912381"
"3/24/2020","18.0297",""
"3/24/2020","22.95049","8.804914"
"3/24/2020","24.9802","7.67718"
"3/24/2020","22.0297","8.155142"
"3/24/2020","31.90099","7.087434"
"3/24/2020","35.9604","6.764097"
"3/24/2020","49.86139","7.186283"
"3/24/2020","32.17822","6.459749"
"3/24/2020","18.13861","4.436965"
"3/24/2020","41.76237","3.089516"
"3/24/2020","31.09348","2.931331"
"3/24/2020","25.05099","4.93295"
"3/24/2020","34.91489","4.233445"
"3/24/2020","40.94901","4.39294"
"3/24/2020","35.04261","8.12224"
"3/23/2020","35","7.111032"
"3/23/2020","35.99149","6.677276"
"3/23/2020","44.9234","10.4843"
"3/23/2020","16.24681","13.20244"
"3/23/2020","16","10.21341"
"3/23/2020","12.03404","2.876825"
"3/23/2020","9.025532","2.36447"
"3/23/2020","5.034042","2.292121"
"3/23/2020","14.91489","2.400574"
"3/23/2020","11.03404","2.508635"
"3/23/2020","10.00851","2.622592"
"3/23/2020","27.84681","2.982171"
"3/23/2020","29.98295","3.036381"
"3/23/2020","23.05949","4.774932"
"3/23/2020","31.92351","7.653205"
"3/23/2020","25.05949","5.352771"
"3/23/2020","28.96601","3.523076"
"3/23/2020","24.04249","3.051592"
"3/23/2020","17.05949","2.968423"
"3/23/2020","12.04255","3.865822"
"3/23/2020","12","5.505272"
"3/23/2020","12","3.959683"
"3/23/2020","11.00851","4.442552"
"3/23/2020","11","6.430994"
"3/22/2020","25.87234","5.862914"
"3/22/2020","36.90638","11.5511"
"3/22/2020","32.04249","16.478"
"3/22/2020","81.57567","12.7974"
"3/22/2020","23.50071","7.44636"
"3/22/2020","7.135785","2.754221"
"3/22/2020","5.016973","1.719575"
"3/22/2020","6.983027","1.63568"
"3/22/2020","7.991513","1.684978"
"3/22/2020","3.042433","1.741923"
"3/22/2020","3","1.928366"
"3/22/2020","9.940594","2.078118"
"3/22/2020","11.98303","2.182869"
"3/22/2020","12.99151","2.819292"
"3/22/2020","21.9234","3.133301"
"3/22/2020","11.09348","3.266095"
"3/22/2020","7.033898","4.080478"
"3/22/2020","4.025496","2.583465"
"3/22/2020","6.97454","2.379177"
"3/22/2020","9.974504","2.4629"
"3/22/2020","10.99153","2.78128"
"3/22/2020","11.9915","3.132795"
"3/22/2020","13.98305","4.11705"
"3/22/2020","22.94886","5.464738"
"3/21/2020","32.91501","8.389749"
"3/21/2020","45.88968","10.24755"
"3/21/2020","45.00849","11.14506"
"3/21/2020","35.08487","11.60027"
"3/21/2020","14.17822","9.244358"
"3/21/2020","13.00849","4.529305"
"3/21/2020","14.98303","2.49703"
"3/21/2020","11.03399","2.802599"
"3/21/2020","10.0099","2.584508"
"3/21/2020","10.9901","2.835468"
"3/21/2020","7.039604","2.996265"
"3/21/2020","5.019802","3.523807"
"3/21/2020","8.966054","3.866928"
"3/21/2020","9.991513","4.44191"
"3/21/2020","20.90665","4.138737"
"3/21/2020","26.94908","4.415022"
"3/21/2020","21.05092","3.30372"
"3/21/2020","10.09335","1.999125"
"3/21/2020","8.016973","1.88547"
"3/21/2020","11.96605","1.936239"
"3/21/2020","13.98303","2.138536"
"3/21/2020","14","2.22793"
"3/21/2020","21.93211","3.093865"
"3/21/2020","13.05106","3.18049"
"3/20/2020","19.94059","3.302403"
"3/20/2020","11.07638","3.153607"
"3/20/2020","8.025459","3.887525"
"3/20/2020","15.93211","3.32135"
"3/20/2020","10.05092","3.042474"
"3/20/2020","18.92362","2.413498"
"3/20/2020","28.91513","2.598988"
"3/20/2020","11.12748","2.747832"
"3/20/2020","7.028328","3.016017"
"3/20/2020","30.82979","3.010752"
"3/20/2020","12.13475","3.056678"
"3/20/2020","21.92908","3.016492"
"3/20/2020","11.07801","2.869351"
"3/20/2020","9.014184","2.373139"
"3/20/2020","10.98582","2.266439"
"3/20/2020","12.98582","1.983121"
"3/20/2020","12.00709","2.239727"
"3/20/2020","11.00709","1.979917"
"3/20/2020","10.00709","2.023219"
"3/20/2020","9.007092","2.163276"
"3/20/2020","8.007092","2.034589"
"3/20/2020","8.992908","1.99675"
"3/20/2020","18.92908","2.066902"
"3/20/2020","18.00427","2.387961"
"3/19/2020","27.92918","3.665336"
